,billboard_track,spotify_track,billboard_artist,spotify_artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Black Beatles,,Rae Sremmurd Featuring Gucci Mane,,,,,,,,,,,,,,,
1,Starboy,,The Weeknd Featuring Daft Punk,,,,,,,,,,,,,,,
2,Closer,,The Chainsmokers Featuring Halsey,,,,,,,,,,,,,,,
3,24K Magic,24K Magic,Bruno Mars,['Bruno Mars'],6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,225983.0,4.0
4,Side To Side,,Ariana Grande Featuring Nicki Minaj,,,,,,,,,,,,,,,
5,I Don't Wanna Live Forever (Fifty Shades Darker),,Zayn / Taylor Swift,,,,,,,,,,,,,,,
6,Deja Vu,Deja Vu,J. Cole,['J. Cole'],6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.421,9.0,-11.378,1.0,0.412,0.352,0.000218,0.187,0.181,174.063,264747.0,4.0
7,Juju On That Beat (TZ Anthem),Juju on That Beat (TZ Anthem) - DJ Taj and DJ Flex Remix; Challenge Version,Zay Hilfigerrr & Zayion McCall,"['Zay Hilfigerrr', 'Zayion McCall', 'DJ Flex', 'DJ Taj']",6VQ1iGUwAyFugBI73h1iqs,0.808,0.919,1.0,-5.391,1.0,0.167,0.00476,1.11e-06,0.0625,0.64,154.009,102857.0,4.0
8,Let Me Love You,,DJ Snake Featuring Justin Bieber,,,,,,,,,,,,,,,
9,Don't Wanna Know,,Maroon 5 Featuring Kendrick Lamar,,,,,,,,,,,,,,,
10,Immortal,Immortal,J. Cole,['J. Cole'],6AGON2BGdPmPMJGiiNuuwl,0.744,0.43,3.0,-10.604,0.0,0.309,0.455,2.73e-06,0.126,0.266,92.039,201667.0,4.0
11,Fake Love,Fake Love,Drake,['Drake'],343YBumqHu19cGoGARUTsd,0.928,0.481,9.0,-9.35,0.0,0.287,0.105,0.0,0.176,0.613,134.007,210937.0,4.0
12,Neighbors,Neighbors,J. Cole,['J. Cole'],0utlOiJy2weVl9WTkcEWHy,0.898,0.283,6.0,-12.335,0.0,0.356,0.319,0.000383,0.11,0.469,138.97,216520.0,4.0
13,Bad Things,,Machine Gun Kelly x Camila Cabello,,,,,,,,,,,,,,,
14,Heathens,Heathens,twenty one pilots,['Twenty One Pilots'],6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920.0,4.0
15,Caroline,Caroline,Amine,['Aminé'],5hTpBe8h35rJ67eAWHQsJx,0.94,0.335,5.0,-10.179,0.0,0.505,0.17,0.0,0.262,0.707,120.04,209640.0,4.0
16,Broccoli,,D.R.A.M. Featuring Lil Yachty,,,,,,,,,,,,,,,
17,Scars To Your Beautiful,Scars To Your Beautiful,Alessia Cara,['Alessia Cara'],0prNGof3XqfTvNDxHonvdK,0.573,0.739,0.0,-5.74,1.0,0.129,0.0285,0.0,0.111,0.451,97.085,230227.0,4.0
18,Starving,,Hailee Steinfeld & Grey Featuring Zedd,,,,,,,,,,,,,,,
19,All I Want For Christmas Is You,All I Want for Christmas Is You,Mariah Carey,['Mariah Carey'],0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7.0,-7.463,1.0,0.0384,0.164,0.0,0.0708,0.35,150.273,241107.0,4.0
20,Change,Change,J. Cole,['J. Cole'],3pjUyVbFmM96tYhSaKJwTt,0.74,0.523,11.0,-10.753,0.0,0.233,0.666,0.00142,0.0968,0.235,97.063,331480.0,4.0
21,She's Mine Pt. 1,She's Mine Pt. 1,J. Cole,['J. Cole'],0HtOJj7Kl74s1Ngf3MWeif,0.439,0.204,2.0,-15.165,1.0,0.0587,0.766,0.0913,0.284,0.0408,139.652,209080.0,4.0
22,For Whom The Bell Tolls,For Whom The Bell Tolls,J. Cole,['J. Cole'],3MWlVSkoLS1e66nlZ2tuWJ,0.595,0.416,10.0,-10.957,0.0,0.0366,0.536,0.0,0.293,0.185,74.556,127880.0,4.0
23,Ville Mentality,Ville Mentality,J. Cole,['J. Cole'],2z3joGXrdGL2iEjIKQTiN1,0.87,0.386,7.0,-7.843,0.0,0.0684,0.745,0.00013,0.122,0.642,119.91,194347.0,3.0
24,I Hate U I Love U,,gnash Featuring Olivia O'Brien,,,,,,,,,,,,,,,
25,Bad And Boujee,,Migos Featuring Lil Uzi Vert,,,,,,,,,,,,,,,
26,Love On The Brain,Love On The Brain,Rihanna,['Rihanna'],5oO3drDxtziYU2H1X23ZIp,0.509,0.637,4.0,-4.83,0.0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000.0,3.0
27,The Greatest,,Sia Featuring Kendrick Lamar,,,,,,,,,,,,,,,
28,4 Your Eyez Only,4 Your Eyez Only,J. Cole,['J. Cole'],1vvnYpYEMVB4aq9I6tHIEB,0.701,0.485,11.0,-10.305,0.0,0.364,0.367,6.31e-05,0.0852,0.496,78.863,530253.0,4.0
29,Foldin Clothes,Foldin Clothes,J. Cole,['J. Cole'],77IAeEz8LEchPN8UNjaTJ2,0.698,0.487,7.0,-9.887,0.0,0.312,0.234,0.00086,0.0724,0.614,161.943,316920.0,4.0
30,Bounce Back,Bounce Back,Big Sean,['Big Sean'],0SGkqnVQo9KPytSri1H6cF,0.78,0.575,1.0,-5.628,0.0,0.139,0.106,0.0,0.129,0.273,81.502,222360.0,4.0
31,Treat You Better,Treat You Better,Shawn Mendes,['Shawn Mendes'],3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,10.0,-4.078,0.0,0.341,0.106,0.0,0.107,0.747,82.695,187973.0,4.0
32,I Feel It Coming,,The Weeknd Featuring Daft Punk,,,,,,,,,,,,,,,
33,She's Mine Pt. 2,She's Mine Pt. 1,J. Cole,['J. Cole'],0HtOJj7Kl74s1Ngf3MWeif,0.439,0.204,2.0,-15.165,1.0,0.0587,0.766,0.0913,0.284,0.0408,139.652,209080.0,4.0
34,In The Name Of Love,In the Name of Love,Martin Garrix & Bebe Rexha,"['Martin Garrix', 'Bebe Rexha']",23L5CiUhw2jV1OIMwthR3S,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,195707.0,4.0
35,All Time Low,All Time Low,Jon Bellion,['Jon Bellion'],0SuLAslEMFZAXf0SwY7syi,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,217603.0,4.0
36,Love Me Now,Love Me Now,John Legend,['John Legend'],6nxQdXa1uAL0rY72wPZu89,0.495,0.762,8.0,-3.842,1.0,0.0862,0.591,0.0,0.0763,0.708,123.893,210293.0,4.0
37,Blue Ain't Your Color,Blue Ain't Your Color,Keith Urban,['Keith Urban'],6wycnu8FWXsj68ig7BEot9,0.69,0.416,7.0,-7.865,1.0,0.0335,0.617,1.37e-06,0.102,0.479,82.45,230600.0,3.0
38,Can't Stop The Feeling!,,Justin Timberlake,,,,,,,,,,,,,,,
39,Cold Water,,Major Lazer Featuring Justin Bieber & MO,,,,,,,,,,,,,,,
40,Cheap Thrills,,Sia Featuring Sean Paul,,,,,,,,,,,,,,,
41,Unsteady,Unsteady,X Ambassadors,['X Ambassadors'],7lGKEWMXVWWTt3X71Bv44I,0.389,0.665,0.0,-6.169,1.0,0.0644,0.178,0.000732,0.116,0.199,117.055,193547.0,4.0
42,Don't Let Me Down,,The Chainsmokers Featuring Daya,,,,,,,,,,,,,,,
43,Mercy,Mercy,Shawn Mendes,['Shawn Mendes'],0AS63m1wHv9n4VVRizK6Hc,0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.356,148.128,208733.0,4.0
44,Hallelujah,Hallelujah,Pentatonix,['Pentatonix'],0HZk0QsXPhMNAWNDR3rYE8,0.364,0.378,7.0,-7.381,0.0,0.0331,0.47,0.0,0.339,0.366,89.918,268960.0,3.0
45,Jingle Bell Rock,Jingle Bell Rock,Bobby Helms,['Bobby Helms'],7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.806,119.705,130973.0,4.0
46,OOOUUU,OOOUUU,Young M.A,['Young M.A'],7JYsArznYOjX2jsrT3UEnL,0.635,0.847,7.0,-3.152,1.0,0.447,0.533,0.0,0.154,0.568,166.072,234650.0,4.0
47,Rockin' Around The Christmas Tree,Rockin' Around The Christmas Tree,Brenda Lee,['Brenda Lee'],2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,126267.0,4.0
48,Chill Bill,,Rob $tone Featuring J. Davi$ & Spooks,,,,,,,,,,,,,,,
49,This Town,This Town,Niall Horan,['Niall Horan'],0qvzXomUDJVaUboy2wMfiS,0.677,0.401,9.0,-8.467,1.0,0.0308,0.712,0.0,0.116,0.195,111.825,232852.0,4.0
50,X,,21 Savage & Metro Boomin Featuring Future,,,,,,,,,,,,,,,
51,Just Hold On,,Steve Aoki & Louis Tomlinson,,,,,,,,,,,,,,,
52,Party Monster,Party Monster,The Weeknd,['The Weeknd'],4F7A0DXBrmUAkp32uenhZt,0.573,0.63,1.0,-8.389,1.0,0.105,0.189,2.31e-05,0.259,0.218,77.525,249213.0,4.0
53,False Prophets,False Prophets,J. Cole,['J. Cole'],0eneujAc4PxkdjP25Gsue1,0.729,0.739,8.0,-9.5,0.0,0.338,0.696,9.37e-06,0.164,0.749,90.306,237427.0,4.0
54,No Heart,,21 Savage & Metro Boomin,,,,,,,,,,,,,,,
55,May We All,,Florida Georgia Line Featuring Tim McGraw,,,,,,,,,,,,,,,
56,Everybody Dies,everybody dies,J. Cole,['J. Cole'],1wIQtB3UQ1TfjNMZZqO6eh,0.779,0.694,9.0,-9.376,1.0,0.2,0.281,1.36e-05,0.109,0.569,82.861,161827.0,4.0
