,track,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Smooth,Santana Featuring Rob Thomas,,,,,,,,,,,,,,
1,Back At One,['Brian McKnight'],6mwA6YiKDjAUG8kWvRRUPh,0.661,0.346,11.0,-9.115,1.0,0.03,0.452,0.0,0.131,0.256,129.752,263667.0,4.0
2,I Wanna Love You Forever,['Jessica Simpson'],5gZEhPrN1VLqTG1nIAXeNK,0.59,0.666,4.0,-4.047,0.0,0.0244,0.156,0.0,0.136,0.0743,104.042,263800.0,4.0
3,My Love Is Your Love,['Whitney Houston'],1ckU1EhAO0Nr73QYw24SWJ,0.77,0.475,7.0,-9.512,1.0,0.159,0.0561,4.72e-06,0.0607,0.473,82.511,261573.0,4.0
4,I Knew I Loved You,['Savage Garden'],6nozDLxeL0TE4MS9GqYU1v,0.61,0.497,9.0,-9.88,1.0,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,250360.0,4.0
5,I Need to Know,['Marc Anthony'],7ffwRz8lZyDOE4Vj58Lo72,0.813,0.949,3.0,-2.563,0.0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,227707.0,4.0
6,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",,,,,,,,,,,,,,
7,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","['Donell Jones', 'Lisa ""Left Eye"" Lopes']",5PMKzsUsTpZZGsCcJBuhP2,0.854,0.543,8.0,-6.166,0.0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,243733.0,4.0
8,Bring It All to Me (feat. *NSYNC),"['Blaque', '*NSYNC']",1cjBan0t4eBk2Y5j17hdyf,0.695,0.579,0.0,-5.066,1.0,0.0325,0.000479,0.0,0.0556,0.726,88.957,218187.0,4.0
9,Girl On TV,['LFO'],4DJwdQDai9DLYBL9TNrEDo,0.688,0.716,4.0,-4.001,0.0,0.0297,0.131,0.0,0.134,0.352,96.043,247600.0,4.0
10,What a Girl Wants,['Christina Aguilera'],5bGmuxShUba9maPswDnhCs,0.754,0.819,0.0,-6.833,1.0,0.112,0.0684,0.0,0.345,0.818,142.137,215800.0,4.0
11,24/7,['Kevon Edmonds'],4rZB2G955dQMcjlb7e3VNB,0.696,0.627,4.0,-5.629,1.0,0.0334,0.0685,0.0,0.0993,0.322,116.047,274267.0,4.0
12,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"['Eiffel 65', 'Gabry Ponte']",2yAVzRiEQooPEJ9SYx11L3,0.822,0.969,7.0,-11.471,0.0,0.0582,0.259,0.000153,0.39,0.765,128.007,283748.0,4.0
13,Then The Morning Comes,['Smash Mouth'],50MfV7a1pnOEcf2t9kobxW,0.729,0.881,5.0,-5.024,0.0,0.0283,0.0231,0.0,0.0872,0.963,118.58,182267.0,4.0
14,He Can't Love U,['Jagged Edge'],3VEZvzr84WVnoorZ4tlBSw,0.721,0.836,8.0,-3.972,0.0,0.206,0.112,0.0,0.235,0.508,126.279,244053.0,4.0
15,Waiting for Tonight,['Jennifer Lopez'],5yaCquc7koPqtgj7v0lwHX,0.695,0.945,10.0,-6.165,0.0,0.0418,0.00341,0.0727,0.103,0.84,125.013,246427.0,4.0
16,That's the Way It Is,['Céline Dion'],5s4catxeZsaWFnOrvrXZHf,0.634,0.886,9.0,-5.424,1.0,0.0434,0.154,0.0,0.118,0.577,93.04,241373.0,4.0
17,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,,,,,,,,,,,,,,
18,Dancing In The Living Room,['Mickey Guyton'],1Y2drdMPyCwRxTCnUmadFh,0.502,0.488,0.0,-6.798,1.0,0.0384,0.568,0.0,0.129,0.2,115.547,196573.0,3.0
19,Steal My Sunshine,['LEN'],4agp6oHofabdUedr0B1krj,0.412,0.829,4.0,-11.112,1.0,0.529,0.394,0.0,0.108,0.677,191.476,265533.0,4.0
20,Get It On Tonite,['Montell Jordan'],0AcLrSfAEBQcUnHOTm5pXg,0.807,0.498,10.0,-9.91,0.0,0.0756,0.259,3.04e-05,0.0618,0.857,99.001,277413.0,4.0
21,Learn to Fly,['Foo Fighters'],5OQsiBsky2k2kDKy2bX2eT,0.465,0.919,4.0,-4.025,1.0,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293.0,4.0
22,Big Deal,['LeAnn Rimes'],0rzXtJ0DE4wTbSeOfBhp1F,0.498,0.806,2.0,-5.297,1.0,0.0394,0.00472,0.0,0.127,0.677,151.781,188267.0,4.0
23,Meet Virginia,['Train'],4ocbH5ZJqajZIpUrqRUoue,0.675,0.553,7.0,-7.775,1.0,0.0486,0.0863,7.58e-06,0.118,0.594,90.02,239933.0,4.0
24,Unpretty,['TLC'],0BUoLE4o9eVahDHvTqak67,0.648,0.622,7.0,-6.063,1.0,0.0428,0.00152,5.97e-05,0.109,0.51,88.684,278067.0,4.0
25,Breathe,['Faith Hill'],3y4LxiYMgDl4RethdzpmNe,0.529,0.496,7.0,-9.007,1.0,0.029,0.173,0.0,0.251,0.278,136.859,250547.0,4.0
26,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,,,,,,,,,,,,,,
27,"4, 5, 6",Sole Featuring JT Money & Kandi,,,,,,,,,,,,,,
28,Stay The Night - Radio Edit,['IMx'],15YtixaZ1VgE3fPfXahlzD,0.585,0.709,11.0,-5.604,1.0,0.0611,0.0111,0.0,0.202,0.726,183.22,219467.0,4.0
29,Don't Say You Love Me,M2M,,,,,,,,,,,,,,
30,Where My Girls At,['702'],4VSyH8AkIt3kaR5xIPFVVi,0.705,0.725,4.0,-7.435,1.0,0.0506,0.0352,0.0149,0.194,0.76,92.186,166693.0,4.0
31,Mambo No. 5 (a Little Bit of...),['Lou Bega'],6x4tKaOzfNJpEJHySoiJcs,0.622,0.807,5.0,-6.752,0.0,0.408,0.103,0.0,0.306,0.892,174.06,220293.0,4.0
32,Hanginaround,['Counting Crows'],0LWINYMC4s8QTdDSb1B3Q3,0.503,0.785,0.0,-6.571,1.0,0.0743,0.295,0.0,0.744,0.734,91.464,247333.0,4.0
33,Take A Picture,['Filter'],6q4aoWgTQ8td2AvqQXuFqm,0.541,0.776,2.0,-8.042,1.0,0.0298,0.00147,0.000221,0.178,0.282,98.986,363800.0,4.0
34,Get Gone,['Ideal'],0CofintZCm8MhxiOMrauiT,0.702,0.52,10.0,-8.581,1.0,0.0725,0.435,0.0,0.299,0.467,120.005,275173.0,4.0
35,Someday,['Sugar Ray'],6zeDYmP3ARpURvpK29Q09P,0.745,0.682,1.0,-4.39,0.0,0.0287,0.0105,0.0862,0.21,0.938,110.857,242800.0,4.0
36,He Didn't Have to Be,['Brad Paisley'],1LONTBZZRxDVx4wEvdcCLd,0.476,0.443,9.0,-7.563,1.0,0.0282,0.105,7.97e-06,0.123,0.165,72.888,282227.0,4.0
37,Got Your Money,Ol' Dirty Bastard Featuring Kelis,,,,,,,,,,,,,,
38,Shake Your Bon-Bon,['Ricky Martin'],1yKDl9K9lrbIFSpPBzEQtb,0.638,0.937,0.0,-4.642,1.0,0.0444,0.0942,0.0,0.327,0.762,100.03,192333.0,4.0
39,If You Love Me,['Mint Condition'],3VZMAx8GdrO73kvTZDD8rU,0.442,0.585,6.0,-6.012,1.0,0.0305,0.606,5.85e-05,0.185,0.233,118.736,385720.0,4.0
40,Black Balloon,['The Goo Goo Dolls'],5zmaypMaWb21FUGBxbw8hT,0.339,0.625,1.0,-8.57,1.0,0.028,0.057,0.000102,0.229,0.334,104.68,249533.0,4.0
